Month,Department,Students_Appeared,Students_Passed,Pass_Percentage,Average_Score,Median_Score,Top_Score,Attendance_Percentage,Assignments_Completed
January,CSE,120,112,93.3,78.4,79,98,91.2,340
January,ECE,108,96,88.9,74.8,75,95,89.4,312
January,EEE,96,82,85.4,71.6,72,92,87.1,284
January,MECH,102,84,82.4,69.7,70,90,85.3,276
February,CSE,122,115,94.3,79.1,80,99,92.1,348
February,ECE,110,99,90.0,75.6,76,96,90.2,318
February,EEE,98,84,85.7,72.1,72,93,87.8,289
February,MECH,104,87,83.7,70.5,71,91,86.0,281
March,CSE,125,118,94.4,80.2,81,99,92.8,356
March,ECE,111,101,91.0,76.8,77,97,90.9,324
March,EEE,99,86,86.9,72.9,73,94,88.4,295
March,MECH,106,89,84.0,71.2,72,91,86.7,286
April,CSE,128,121,94.5,81.0,81,100,93.4,362
April,ECE,113,103,91.2,77.5,78,97,91.5,329
April,EEE,101,89,88.1,73.6,74,95,89.0,301
April,MECH,107,91,85.0,72.0,72,92,87.2,291
May,CSE,130,124,95.4,82.1,82,100,94.0,370
May,ECE,115,106,92.2,78.3,79,98,92.1,336
May,EEE,103,91,88.3,74.4,75,95,89.8,307
May,MECH,109,93,85.3,72.8,73,93,87.9,297
June,CSE,132,126,95.5,83.0,83,100,94.6,378
June,ECE,116,108,93.1,79.1,80,98,92.7,342
June,EEE,104,93,89.4,75.2,76,96,90.3,313
June,MECH,110,95,86.4,73.6,74,94,88.5,304
